time,heartrate
00:00:20,68
00:00:30,69
00:00:45,69
00:00:50,69
00:00:55,69
00:01:05,70
00:01:20,70
00:01:35,70
00:01:50,71
00:01:60,70
00:02:05,71
00:02:20,71
00:02:35,71
00:02:50,71
00:02:55,72
00:03:10,72
00:03:25,72
00:03:40,72
00:03:45,72
00:03:60,72
00:04:15,73
00:04:35,70
00:04:50,69
00:04:60,69
00:05:05,69
00:05:15,69
00:05:25,68
00:05:30,67
00:05:45,67
00:05:55,65
00:05:60,66
00:06:10,65
00:06:20,67
00:06:25,69
00:06:40,69
00:06:55,69
00:07:10,68
00:07:25,68
00:07:40,68
00:07:55,68
00:08:10,69
00:08:25,67
00:08:35,68
00:08:50,68
00:08:60,67
00:09:10,63
00:09:25,63
00:09:30,62
00:09:35,60
00:09:40,61
00:09:45,62
00:09:50,65
00:09:55,68
00:10:05,68
00:10:20,68
00:10:35,68
00:10:45,69
00:10:60,69
00:11:05,69
00:11:10,69
00:11:20,69
00:11:25,67
00:11:30,65
00:11:40,64
00:11:50,63
00:12:05,63
00:12:20,63
00:12:35,63
00:12:45,63
00:12:60,63
00:13:05,61
00:13:10,59
00:13:15,59
00:13:30,59
00:13:35,62
00:13:45,63
00:13:60,63
00:14:15,63
00:14:30,63
00:14:35,62
00:14:40,61
00:14:45,58
00:14:55,57
00:14:60,58
00:15:15,58
00:15:20,58
00:15:30,59
00:15:35,60
00:15:50,60
00:15:55,62
00:16:05,65
00:16:10,66
00:16:15,66
00:16:30,66
00:16:40,66
00:16:50,67
00:16:60,67
00:17:10,67
00:17:20,67
00:17:35,67
00:17:40,66
00:17:55,66
00:17:60,67
00:18:15,67
00:18:30,67
00:18:35,66
00:18:40,66
00:18:45,65
00:18:55,63
00:18:60,61
00:19:15,61
00:19:30,61
00:19:45,61
00:19:50,60
00:20:05,60
00:20:20,60
00:20:35,60
00:21:55,59
00:21:60,58
00:22:15,58
00:22:30,58
00:22:45,58
00:22:50,59
00:23:05,59
00:23:20,58
00:23:35,58
00:23:50,58
00:23:60,59
00:24:10,58
00:24:15,59
00:24:30,59
00:24:45,58
00:24:60,58
00:25:10,58
00:25:15,58
00:25:30,58
00:25:45,58
00:25:55,59
00:25:60,61
00:26:05,62
00:26:15,62
00:26:25,63
00:26:30,64
00:26:40,65
00:26:45,66
00:26:60,67
00:27:15,67
00:27:30,67
00:27:35,67
00:27:50,67
00:28:05,67
00:28:20,67
00:28:35,60
00:28:45,59
00:28:60,59
00:29:15,59
00:31:05,57
00:31:10,57
00:31:25,57
00:31:30,57
00:31:45,57
00:31:50,58
00:31:55,58
00:32:05,59
00:32:20,62
00:32:25,63
00:32:30,65
00:32:40,66
00:32:55,66
00:33:05,67
00:33:15,67
00:33:20,67
00:33:30,66
00:33:45,66
00:33:60,66
00:34:05,64
00:34:10,65
00:34:15,64
00:34:30,64
00:34:35,61
00:34:50,61
00:34:60,61
00:35:10,60
00:35:15,57
00:35:30,57
00:35:45,57
00:35:60,57
00:36:15,57
00:36:30,57
00:36:40,58
00:36:45,58
00:36:50,59
00:36:55,59
00:37:10,59
00:37:15,60
00:37:20,60
00:37:25,60
00:37:40,60
00:37:55,61
00:38:10,61
00:38:15,58
00:38:25,56
00:38:35,54
00:38:40,54
00:38:45,53
00:38:50,54
00:38:55,55
00:39:05,54
00:39:10,54
00:39:25,55
00:39:35,56
00:39:45,55
00:39:60,56
00:40:05,57
00:40:10,58
00:40:15,56
00:40:20,54
00:40:25,54
00:40:30,54
00:40:35,56
00:40:40,56
00:40:45,56
00:40:50,56
00:41:05,56
00:41:10,56
00:41:20,55
00:41:35,55
00:41:40,56
00:41:45,57
00:41:50,57
00:42:05,57
00:42:15,58
00:42:30,58
00:42:45,58
00:42:45,57
00:43:00,57
00:43:15,57
00:43:20,58
00:43:25,57
00:43:30,54
00:43:45,54
00:43:50,56
00:43:55,57
00:44:00,57
00:44:05,57
00:44:10,55
00:44:15,54
00:44:20,54
00:44:35,54
00:44:50,54
00:45:05,54
00:45:20,54
00:45:35,54
00:45:40,56
00:45:50,55
00:46:00,54
00:46:15,54
00:46:20,57
00:46:30,56
00:46:45,56
00:47:00,56
00:47:05,56
00:47:10,55
00:47:15,54
00:47:20,57
00:47:25,58
00:47:40,58
00:47:55,58
00:48:10,58
00:48:15,59
00:48:20,59
00:48:25,60
00:48:40,60
00:48:45,60
00:48:60,60
00:49:05,62
00:49:10,63
00:49:15,63
00:49:20,63
00:49:25,64
00:49:30,66
00:49:40,66
00:49:50,61
00:50:05,61
00:50:30,56
00:50:35,57
00:50:45,58
00:50:50,57
00:50:55,58
00:51:10,57
00:51:15,62
00:51:20,59
00:51:25,56
00:51:30,55
00:51:35,54
00:51:45,55
00:51:60,55
00:52:05,58
00:52:10,56
00:52:20,56
00:52:30,54
00:52:40,53
00:52:50,55
00:52:60,56
00:53:05,56
00:53:15,56
00:53:20,56
00:53:35,56
00:53:45,56
00:53:60,56
00:54:05,56
00:54:10,57
00:54:25,61
00:54:30,61
00:54:35,59
00:54:40,59
00:54:50,60
00:54:55,61
00:54:60,61
00:55:15,61
00:55:30,60
00:55:45,60
00:55:50,60
00:55:55,58
00:55:60,57
00:56:05,58
00:56:10,57
00:56:15,56
00:56:20,58
00:56:25,59
00:56:40,59
00:56:45,59
00:56:50,57
00:56:55,56
00:56:60,55
00:57:05,55
00:57:10,56
00:57:15,57
00:57:20,55
00:57:25,54
00:57:30,55
00:57:35,54
00:57:40,53
00:57:45,54
00:57:55,56
00:57:60,55
00:58:15,55
00:58:20,57
00:58:25,55
00:58:35,54
00:58:40,53
00:58:45,54
00:58:50,55
00:58:55,54
00:58:60,55
00:59:05,57
00:59:10,56
00:59:20,55
00:59:25,54
00:59:40,54
00:59:50,53
00:59:60,53
01:00:05,53
01:00:10,52
01:00:20,52
01:00:30,53
01:00:40,52
01:00:55,52
01:00:60,55
01:01:05,54
01:01:10,53
01:01:20,56
01:01:25,57
01:01:30,59
01:01:40,58
01:01:50,57
01:01:55,56
01:01:60,55
01:02:10,54
01:02:15,55
01:02:20,55
01:02:35,55
01:02:45,56
01:02:50,55
01:02:55,55
01:02:60,54
01:03:05,53
01:03:20,53
01:03:25,53
01:03:30,52
01:03:40,51
01:03:45,50
01:03:55,49
01:03:60,48
01:04:05,49
01:04:10,53
01:04:15,52
01:04:30,52
01:04:35,55
01:04:50,55
01:04:55,53
01:05:05,52
01:05:15,51
01:05:25,52
01:05:40,52
01:05:45,51
01:05:50,51
01:05:60,53
01:06:05,53
01:06:10,53
01:06:20,52
01:06:30,51
01:06:45,51
01:06:45,51
01:06:55,54
01:06:60,55
01:07:05,54
01:07:10,53
01:07:15,52
01:07:20,51
01:07:35,51
01:07:40,51
01:07:45,52
01:07:50,57
01:07:55,56
01:07:60,55
01:08:05,53
01:08:10,52
01:08:20,51
01:08:25,52
01:08:40,52
01:08:50,50
01:08:55,52
01:09:10,52
01:09:25,51
01:09:40,51
01:09:55,51
01:10:10,51
01:10:10,51
01:10:15,50
01:10:30,50
01:10:45,51
01:10:50,50
01:11:05,52
01:11:20,52
01:11:25,51
01:11:40,51
01:11:55,51
01:12:00,50
01:12:15,50
01:12:30,50
01:12:35,52
01:12:40,51
01:12:55,51
01:13:00,50
01:13:15,50
01:13:20,51
01:13:30,52
01:13:45,52
01:14:00,51
01:14:10,50
01:14:25,50
01:14:30,51
01:14:40,51
01:14:55,51
01:15:10,51
01:15:25,51
01:15:40,51
01:15:55,51
01:15:60,52
01:16:10,51
01:16:25,51
01:16:40,51
01:16:55,51
01:16:60,50
01:17:15,50
01:17:20,51
01:17:30,50
01:17:45,50
01:17:60,50
01:18:05,51
01:18:15,50
01:18:30,50
01:18:45,51
01:18:50,50
01:19:05,50
01:19:20,50
01:19:25,51
01:19:30,50
01:19:45,50
01:20:00,50
01:20:15,50
01:20:30,51
01:20:40,50
01:20:50,49
01:21:05,49
01:21:20,50
01:21:30,51
01:21:35,52
01:21:40,51
01:21:55,51
01:22:05,50
01:22:20,50
01:22:35,50
01:22:50,50
01:23:05,50
01:23:15,51
01:23:20,52
01:23:35,52
01:23:40,51
01:23:55,51
01:24:10,51
01:24:15,50
01:24:25,50
01:24:40,50
01:24:45,51
01:24:50,52
01:25:05,52
01:25:10,51
01:25:20,50
01:25:35,50
01:25:40,51
01:25:45,50
01:25:60,50
01:26:15,50
01:26:30,50
01:26:45,50
01:26:55,51
01:27:10,51
01:27:15,50
01:27:30,50
01:27:40,51
01:27:55,51
01:27:60,50
01:28:05,51
01:28:20,51
01:28:35,51
01:28:50,51
01:28:60,52
01:29:15,52
01:29:15,51
01:29:30,51
01:29:45,51
01:30:00,51
01:30:15,51
01:30:30,51
01:30:45,51
01:30:55,51
01:31:10,51
01:31:25,51
01:31:30,52
01:31:45,52
01:32:00,51
01:32:15,51
01:32:30,51
01:32:35,52
01:32:50,52
01:33:00,53
01:33:10,52
01:33:25,52
01:33:30,51
01:33:45,51
01:34:00,51
01:34:15,52
01:34:20,52
01:34:25,51
01:34:30,52
01:34:35,51
01:34:50,51
01:34:60,52
01:35:05,56
01:35:20,55
01:35:25,54
01:35:30,52
01:35:35,51
01:35:40,50
01:35:50,49
01:36:05,49
01:36:20,49
01:36:35,49
01:36:50,49
01:36:55,50
01:37:10,50
01:37:20,49
01:37:35,49
01:37:45,48
01:37:60,48
01:38:15,48
01:38:35,56
01:38:40,56
01:38:45,55
01:38:50,54
01:38:55,53
01:39:00,51
01:39:05,50
01:39:10,49
01:39:20,50
01:39:25,53
01:39:30,51
01:39:35,50
01:39:45,49
01:39:50,48
01:40:05,48
01:40:20,48
01:40:35,48
01:40:40,49
01:40:55,49
01:41:10,49
01:41:25,49
01:41:40,49
01:41:45,50
01:42:00,50
01:42:15,49
01:42:25,48
01:42:35,48
01:42:50,49
01:43:05,49
01:43:20,49
01:43:35,49
01:43:50,49
01:44:05,49
01:44:20,49
01:44:35,49
01:44:50,48
01:45:05,49
01:45:10,50
01:45:15,49
01:45:20,48
01:45:35,48
01:45:45,49
01:45:60,49
01:46:15,49
01:46:30,49
01:46:45,49
01:46:60,49
01:47:15,49
01:47:30,49
01:47:40,48
01:47:45,48
01:47:50,49
01:48:05,49
01:48:15,49
01:48:30,49
01:48:45,49
01:49:00,49
01:49:15,49
01:49:30,49
01:49:45,49
01:50:00,49
01:50:15,49
01:50:20,48
01:50:25,47
01:50:35,48
01:50:50,48
01:51:05,48
01:51:20,48
01:51:35,49
01:51:50,49
01:52:05,49
01:52:20,49
01:52:25,50
01:52:35,49
01:52:45,50
01:52:55,50
01:53:10,50
01:53:15,49
01:53:30,49
01:53:35,50
01:53:50,50
01:54:05,50
01:54:20,50
01:54:35,50
01:54:50,50
01:54:60,49
01:55:15,49
01:55:30,49
01:55:45,49
01:55:60,49
01:56:15,49
01:56:30,49
01:58:25,48
01:58:30,49
01:58:45,50
01:58:60,50
01:59:05,49
01:59:15,50
01:59:30,50
01:59:45,50
01:59:60,50
02:00:05,51
02:00:20,51
02:00:30,50
02:00:45,50
02:00:55,51
02:01:10,51
02:01:20,50
02:01:35,50
02:01:50,50
02:01:60,51
02:02:05,50
02:02:10,51
02:02:25,51
02:02:30,52
02:02:35,53
02:02:50,53
02:03:05,53
02:03:15,52
02:03:20,52
02:03:35,52
02:03:45,51
02:03:60,51
02:04:05,50
02:04:15,52
02:04:20,51
02:04:25,52
02:04:35,51
02:04:50,51
02:05:05,51
02:05:20,51
02:05:25,50
02:05:40,50
02:05:50,51
02:06:05,51
02:06:10,52
02:06:20,51
02:06:35,51
02:06:45,50
02:06:55,51
02:07:10,51
02:07:20,52
02:07:35,52
02:07:50,52
02:07:60,52
02:08:10,52
02:08:15,51
02:08:25,52
02:08:30,51
02:08:45,51
02:08:60,51
02:09:05,52
02:09:15,51
02:09:30,51
02:09:40,51
02:09:55,51
02:10:10,51
02:10:15,52
02:10:30,52
02:10:35,51
02:10:50,51
02:10:55,50
02:11:05,51
02:11:20,51
02:11:30,52
02:11:35,53
02:11:45,52
02:11:60,52
02:12:05,52
02:12:10,52
02:12:15,52
02:12:30,51
02:12:45,51
02:12:50,52
02:13:05,51
02:13:10,52
02:13:15,51
02:13:25,52
02:13:40,52
02:13:55,52
02:14:05,53
02:14:10,52
02:14:25,52
02:14:30,52
02:14:40,53
02:14:50,69
02:14:55,74
02:14:60,71
02:15:05,65
02:15:10,64
02:15:15,59
02:15:20,59
02:15:25,57
02:15:30,58
02:15:40,56
02:15:45,55
02:15:50,54
02:15:55,53
02:16:10,53
02:16:15,52
02:16:25,51
02:16:40,51
02:16:50,53
02:16:55,54
02:17:05,53
02:17:10,54
02:17:15,53
02:17:30,53
02:17:45,53
02:17:50,54
02:18:05,54
02:18:20,53
02:18:25,52
02:18:30,54
02:18:45,54
02:19:00,53
02:19:05,54
02:19:15,55
02:19:25,54
02:19:35,54
02:19:45,53
02:19:50,54
02:19:55,55
02:20:05,54
02:20:15,55
02:20:25,54
02:20:30,55
02:20:35,54
02:20:45,53
02:20:55,54
02:21:10,55
02:21:15,56
02:21:30,56
02:21:35,57
02:21:40,56
02:21:45,54
02:21:60,54
02:22:05,55
02:22:10,56
02:22:15,57
02:22:30,57
02:22:35,63
02:22:40,59
02:22:45,56
02:22:50,55
02:22:55,54
02:23:10,54
