,time,heartrate,steps,elevation
0,120,70,0,0.0
1,240,72,0,0.0
2,300,69,0,0.0
3,360,66,0,0.0
4,540,67,4,0.0
5,660,69,0,0.0
6,780,63,0,0.0
7,840,63,0,0.0
8,900,58,0,0.0
9,1020,67,0,0.0
10,1080,67,0,0.0
11,1140,61,0,0.0
12,1320,58,0,0.0
13,1440,59,0,0.0
14,1500,58,16,0.0
15,1560,61,23,0.0
16,1620,67,0,0.0
17,1740,59,10,0.0
18,2040,66,0,0.0
19,2100,61,0,0.0
20,2160,57,0,0.0
21,2400,56,0,0.0
22,2580,57,0,0.0
23,2640,57,0,0.0
24,2760,54,0,0.0
25,2820,56,0,0.0
26,2940,60,0,0.0
27,3120,55,0,0.0
28,3180,56,12,0.0
29,3240,56,0,0.0
30,3300,61,0,0.0
31,3360,57,0,0.0
32,3420,55,0,0.0
33,3480,55,0,0.0
34,3540,55,0,0.0
35,3600,53,0,0.0
36,3660,55,0,0.0
37,3720,55,0,0.0
38,3780,54,0,0.0
39,3840,48,0,0.0
40,3960,53,0,0.0
41,4020,55,0,0.0
42,4080,55,0,0.0
43,4320,50,0,0.0
44,4380,50,0,0.0
45,4440,51,0,0.0
46,4560,52,0,0.0
47,4620,50,0,0.0
48,4680,50,0,0.0
49,4800,50,0,0.0
50,5160,50,0,0.0
51,5280,50,0,0.0
52,5340,52,0,0.0
53,5400,51,0,0.0
54,5520,51,0,0.0
55,5580,53,0,0.0
56,5640,51,0,0.0
57,5700,52,0,0.0
58,5880,48,0,0.0
59,5940,51,0,0.0
60,6120,50,0,0.0
61,6360,49,0,0.0
62,6420,49,0,0.0
63,6540,49,0,0.0
64,6600,49,0,0.0
65,6900,49,0,0.0
66,6960,49,0,0.0
67,7140,50,0,0.0
68,7200,50,0,0.0
69,7320,51,0,0.0
70,7440,51,0,0.0
71,7680,52,0,0.0
72,7740,51,0,0.0
73,7920,52,0,0.0
74,8100,71,0,0.0
75,8340,53,0,0.0
76,8520,54,0,0.0
77,8640,56,0,0.0
78,8700,58,0,0.0
79,8820,55,0,0.0
80,8940,58,0,0.0
81,9000,58,0,0.0
82,9060,57,0,0.0
83,9120,59,0,0.0
84,9180,58,0,0.0
85,9420,58,0,0.0
86,9480,55,0,0.0
87,9780,56,0,0.0
88,9840,56,0,0.0
89,9900,56,0,0.0
90,9960,55,0,0.0
91,10020,56,0,0.0
92,10080,54,0,0.0
93,10140,56,0,0.0
94,10260,55,0,0.0
95,10320,56,0,0.0
96,10500,55,0,0.0
97,10620,55,0,0.0
98,10740,55,0,0.0
99,10860,58,0,0.0
100,10980,55,0,0.0
101,11280,55,0,0.0
102,11340,55,0,0.0
103,11460,53,0,0.0
104,11640,54,0,0.0
105,11820,55,0,0.0
106,12000,57,0,0.0
107,12060,55,0,0.0
108,12600,49,0,0.0
109,12720,49,0,0.0
110,13260,50,7,0.0
111,13440,58,0,0.0
112,13500,54,0,0.0
113,13560,52,0,0.0
114,13620,52,0,0.0
115,13680,53,0,0.0
116,13800,53,0,0.0
117,13860,55,0,0.0
118,13920,53,0,0.0
119,13980,54,0,0.0
120,14160,57,0,0.0
121,14220,62,0,0.0
122,14280,62,0,0.0
123,14340,60,0,0.0
124,14400,54,0,0.0
125,14460,60,0,0.0
126,14580,58,0,0.0
127,14760,55,0,0.0
128,14880,53,0,0.0
129,15000,52,0,0.0
130,15060,56,0,0.0
131,15120,56,0,0.0
132,15180,52,0,0.0
133,15540,58,0,0.0
134,15780,53,0,0.0
135,15840,57,0,0.0
136,15960,55,0,0.0
137,16140,55,0,0.0
138,16200,54,0,0.0
139,16320,55,0,0.0
140,16380,55,0,0.0
141,16440,56,0,0.0
142,16560,55,0,0.0
143,16740,56,0,0.0
144,17040,55,0,0.0
145,17160,54,0,0.0
146,17280,55,0,0.0
147,17340,54,0,0.0
148,17400,52,0,0.0
149,17460,53,0,0.0
150,17580,54,0,0.0
151,17640,54,0,0.0
152,17940,54,0,0.0
153,18000,54,0,0.0
154,18060,54,0,0.0
155,18120,54,0,0.0
156,18180,52,0,0.0
157,18240,52,0,0.0
158,18300,51,0,0.0
159,18360,52,0,0.0
160,18480,52,0,0.0
161,18540,51,0,0.0
162,18600,52,0,0.0
163,18720,51,0,0.0
164,18780,52,0,0.0
165,18900,52,0,0.0
166,18960,52,0,0.0
167,19140,52,0,0.0
168,19200,52,0,0.0
169,19260,53,0,0.0
170,19320,59,0,0.0
171,19380,52,0,0.0
172,19740,51,0,0.0
173,19920,52,0,0.0
174,19980,50,0,0.0
175,20040,52,0,0.0
176,20100,52,0,0.0
177,20220,54,0,0.0
178,20340,52,0,0.0
179,20400,56,0,0.0
180,20460,54,0,0.0
181,20640,55,0,0.0
182,20880,54,0,0.0
183,21060,54,0,0.0
184,21240,70,0,0.0
185,21360,58,0,0.0
186,21540,56,0,0.0
187,21600,57,0,0.0
188,21720,54,0,0.0
189,21780,53,0,0.0
190,21900,52,0,0.0
191,22020,49,0,0.0
192,22080,55,0,0.0
193,22140,54,0,0.0
194,22200,53,0,0.0
195,22260,54,0,0.0
196,22320,64,0,0.0
197,22620,53,0,0.0
198,22680,55,0,0.0
199,22740,51,0,0.0
200,22800,53,0,0.0
201,22980,54,0,0.0
202,23040,55,0,0.0
203,23100,56,0,0.0
204,23160,54,0,0.0
205,23340,56,0,0.0
206,23400,70,0,0.0
207,23580,53,0,0.0
208,23640,52,0,0.0
209,23700,53,0,0.0
210,23700,52,0,0.0
211,23880,52,0,0.0
212,24000,51,0,0.0
213,24120,50,0,0.0
214,24180,51,0,0.0
215,24240,49,0,0.0
216,24480,51,0,0.0
217,24600,50,0,0.0
218,24660,59,0,0.0
219,24720,52,0,0.0
220,24780,53,0,0.0
221,24960,54,0,0.0
222,25080,52,0,0.0
223,25200,53,0,0.0
224,25260,53,0,0.0
225,25380,54,0,0.0
226,25500,53,0,0.0
227,25620,55,0,0.0
228,25800,55,0,0.0
229,25860,54,0,0.0
230,25980,54,0,0.0
231,26040,54,0,0.0
232,26100,54,0,0.0
233,26280,54,0,0.0
234,26340,55,0,0.0
235,26460,56,0,0.0
236,26520,54,0,0.0
237,26580,54,0,0.0
238,26640,56,0,0.0
239,26760,57,0,0.0
240,26820,54,0,0.0
241,27000,68,0,0.0
242,27120,62,0,0.0
243,27180,53,0,0.0
244,27300,55,0,0.0
245,27360,57,0,0.0
246,27480,49,0,0.0
247,27540,53,0,0.0
248,27600,54,0,0.0
249,27660,52,0,0.0
250,27720,49,0,0.0
251,27780,49,0,0.0
252,27840,52,0,0.0
253,27900,53,0,0.0
254,27960,59,0,0.0
255,28020,53,0,0.0
256,28080,51,0,0.0
257,28080,51,0,0.0
258,28200,52,0,0.0
259,28320,53,0,0.0
260,28380,52,0,0.0
261,28440,57,0,0.0
262,28500,61,0,0.0
263,28560,55,0,0.0
264,28620,55,0,0.0
265,28680,56,0,0.0
266,28740,54,0,0.0
267,28800,53,0,0.0
268,28860,54,0,0.0
269,28920,56,0,0.0
270,28980,56,0,0.0
271,29040,56,0,0.0
272,29100,55,0,0.0
273,29160,55,0,0.0
274,29280,57,0,0.0
275,29340,57,0,0.0
276,29400,55,0,0.0
277,29460,57,0,0.0
278,29520,54,0,0.0
279,29580,55,0,0.0
280,29640,53,0,0.0
281,29700,53,0,0.0
282,29880,49,0,0.0
283,29940,55,0,0.0
284,30000,56,0,0.0
285,30120,66,0,0.0
286,30240,70,0,0.0
287,30300,63,13,0.0
288,30360,67,10,0.0
289,30420,73,0,0.0
290,30660,58,0,0.0
291,30720,57,0,0.0
292,31080,79,15,0.0
293,31140,86,9,0.0
294,31200,83,18,0.0
295,31320,72,0,0.0
296,31500,62,0,0.0
297,31560,56,0,0.0
298,31620,54,0,0.0
299,31680,62,0,0.0
300,31740,60,0,0.0
301,32040,66,0,0.0
302,32160,68,10,0.0
303,32220,70,14,0.0
304,32340,90,108,0.0
305,32400,107,118,0.0
306,32460,116,48,3.0480000972747803
307,32580,111,34,0.0
308,32640,113,0,0.0
309,32820,57,0,0.0
310,32940,62,0,0.0
311,33180,68,0,0.0
312,33960,61,0,0.0
313,34200,66,0,0.0
314,34260,67,0,0.0
315,34320,64,0,0.0
316,34380,64,0,0.0
317,34440,64,0,0.0
318,34500,63,0,0.0
319,34560,67,0,0.0
320,34740,73,0,0.0
321,34800,72,0,0.0
322,34860,71,0,0.0
323,35160,73,0,0.0
324,35280,72,0,0.0
325,35460,62,0,0.0
326,35580,69,0,0.0
327,35700,72,0,0.0
328,35880,70,0,0.0
329,36000,66,0,0.0
330,36120,69,7,0.0
331,36180,74,0,0.0
332,36240,72,0,0.0
333,36300,68,0,0.0
334,36360,65,0,0.0
335,36360,65,0,0.0
336,36420,64,0,0.0
337,36480,67,0,0.0
338,36780,66,0,0.0
339,36840,69,0,0.0
340,37080,73,4,0.0
341,37200,80,0,0.0
342,37320,81,0,0.0
343,37380,79,0,0.0
344,37440,77,0,0.0
345,37500,67,0,0.0
346,37560,66,0,0.0
347,37620,62,0,0.0
348,37800,62,0,0.0
349,37860,67,0,0.0
350,37920,67,0,0.0
351,38280,66,0,0.0
352,38340,78,0,0.0
