time,value
00:12:29,70
00:17:36,70
00:17:51,98
00:17:56,127
00:18:01,120
00:18:06,119
00:18:11,118
00:18:26,116
00:18:31,111
00:18:36,106
00:18:41,105
00:18:46,106
00:18:51,105
00:18:56,101
00:19:06,104
00:19:11,105
00:19:16,101
00:19:21,96
00:19:31,91
00:19:41,90
00:19:46,87
00:19:52,86
00:19:57,84
00:20:07,84
00:20:17,82
00:20:27,80
00:20:32,79
00:20:37,78
00:20:42,77
00:20:47,75
00:20:52,72
00:21:02,71
00:21:07,70
00:21:22,70
00:21:27,73
00:21:32,75
00:21:37,76
00:21:42,79
00:21:57,79
00:22:49,89
00:22:59,86
00:23:04,84
00:23:09,87
00:23:24,88
00:23:29,87
00:23:34,88
00:23:49,88
00:23:54,86
00:23:59,78
00:24:04,78
00:24:14,77
00:24:19,76
00:24:24,75
00:24:29,74
00:24:34,73
00:24:39,72
00:24:44,70
00:24:59,70
00:25:04,67
00:25:09,67
00:25:24,67
00:25:39,66
00:25:54,64
00:25:59,63
00:26:05,62
00:26:15,63
00:26:20,62
00:26:25,61
00:26:40,61
00:26:55,61
00:29:22,68
00:29:27,66
00:29:32,65
00:29:37,64
00:29:42,64
00:29:52,63
00:30:07,63
00:30:22,63
00:30:27,61
00:30:37,60
00:30:42,67
00:30:47,67
00:31:02,67
00:31:07,68
00:31:12,68
00:31:22,68
00:31:27,67
00:31:32,66
00:31:42,65
00:31:47,64
00:31:52,63
00:31:57,64
00:32:07,65
00:32:12,65
00:32:17,65
00:32:32,65
00:32:34,65
00:32:39,65
00:32:49,66
00:32:59,65
00:33:09,66
00:33:14,66
00:33:24,65
00:33:29,65
00:33:34,64
00:33:39,64
00:33:44,66
00:33:49,65
00:33:54,66
00:33:59,66
00:34:14,66
00:34:19,69
00:34:24,68
00:34:29,67
00:34:34,66
00:34:49,66
00:35:04,66
00:35:19,66
00:35:29,65
00:35:34,64
00:35:39,64
00:35:54,64
00:35:56,64
00:36:11,64
00:36:26,63
00:36:41,63
00:36:51,62
00:37:06,63
00:37:21,63
00:39:58,66
00:40:03,65
00:40:18,65
00:40:23,64
00:40:38,65
00:40:53,65
00:41:08,65
00:41:18,66
00:41:33,66
00:41:48,66
00:44:30,61
00:44:45,61
00:45:00,62
00:45:10,64
00:45:15,63
00:45:20,65
00:45:30,64
00:45:45,64
00:45:50,63
00:45:55,63
00:46:00,63
00:46:05,62
00:46:15,64
00:46:20,63
00:46:30,63
00:46:45,63
00:47:00,63
00:47:05,63
00:47:10,63
00:47:15,63
00:47:25,63
00:47:35,66
00:47:40,71
00:47:45,72
00:47:50,69
00:47:57,68
00:48:02,67
00:48:07,66
00:48:17,66
00:48:22,66
00:48:32,65
00:48:42,66
00:48:57,66
00:49:02,64
00:49:07,67
00:49:12,68
00:49:17,68
00:49:22,67
00:49:27,66
00:49:42,66
00:49:47,68
00:49:52,69
00:50:02,67
00:50:07,66
00:50:17,65
00:50:22,64
00:50:27,65
00:50:37,64
00:50:47,65
00:51:02,65
00:51:04,65
00:51:14,64
00:51:29,63
00:51:44,63
00:51:54,62
00:51:59,63
00:52:14,63
00:52:29,63
00:52:44,63
00:52:54,62
00:53:09,62
00:53:19,62
00:53:29,63
00:53:34,64
00:53:49,64
00:54:04,64
00:54:09,64
00:54:19,65
00:54:34,65
00:54:44,64
00:54:49,61
00:54:59,59
00:55:14,59
00:55:19,60
00:55:29,59
00:55:34,59
00:55:41,59
00:55:51,60
00:56:01,58
00:56:16,58
00:56:26,59
00:56:41,59
00:56:46,61
00:56:51,58
00:57:01,58
00:57:06,57
00:57:21,57
00:57:31,58
00:57:41,59
