time,value
12:21:41,70
12:22:29,70
12:22:34,70
12:22:39,70
12:22:44,70
12:22:49,70
12:22:54,70
12:22:59,70
12:23:15,70
12:23:20,70
12:23:25,70
12:23:30,63
12:23:35,68
12:23:45,63
12:23:55,62
12:24:00,59
12:24:15,57
12:24:25,58
12:24:30,59
12:24:35,60
12:24:40,61
12:24:45,62
12:24:50,61
12:24:55,60
12:25:00,57
12:25:05,56
12:25:10,57
12:25:15,58
12:25:20,60
12:25:25,60
12:25:40,60
12:25:45,61
12:26:00,61
12:26:05,61
12:26:15,60
12:26:20,58
12:26:26,58
12:26:31,59
12:26:36,60
12:26:41,60
12:26:46,59
12:26:51,60
12:26:56,61
12:27:06,63
12:27:21,63
12:27:26,63
12:27:31,61
12:27:46,61
12:27:51,63
12:27:56,62
12:28:01,62
12:28:06,61
12:28:11,60
12:28:16,61
12:28:21,62
12:28:26,62
12:28:31,65
12:28:36,64
12:28:41,64
12:28:51,65
12:29:06,65
12:29:08,66
12:29:23,67
12:29:33,69
12:29:38,70
12:29:43,71
12:29:48,72
12:29:53,72
12:29:58,73
12:30:13,73
12:30:23,72
12:30:33,71
12:30:38,72
12:30:53,72
12:32:50,84
12:32:55,85
12:33:00,86
12:33:15,86
12:33:20,87
12:33:25,90
12:33:40,91
12:33:50,92
12:33:55,94
12:34:00,95
12:34:05,96
12:34:20,96
12:34:35,99
12:34:40,100
12:34:50,102
12:34:55,104
12:35:10,104
12:35:15,108
12:35:20,110
12:35:25,112
12:35:35,114
12:35:45,115
12:36:00,115
12:36:15,112
12:36:30,112
12:36:32,111
12:36:47,113
12:37:02,113
12:37:17,113
12:37:32,113
12:37:42,115
12:37:52,116
12:38:02,118
12:38:12,120
12:38:17,120
12:38:32,120
12:38:47,119
12:39:02,118
12:39:17,117
12:39:32,117
12:39:42,115
12:39:52,114
12:40:07,114
12:40:12,111
12:40:27,111
12:40:42,111
12:40:57,111
12:40:59,111
12:41:14,111
12:41:19,112
12:41:34,112
12:41:49,112
12:41:54,113
12:42:09,113
12:42:24,112
12:42:29,113
12:42:34,112
12:42:49,112
12:43:04,112
12:43:19,112
12:43:34,112
12:43:49,112
12:43:54,114
12:44:09,114
12:45:12,102
12:45:22,102
12:45:32,103
12:45:47,103
12:46:02,103
12:46:07,103
12:46:12,102
12:46:17,99
12:46:22,92
12:46:27,79
12:46:32,77
12:46:37,76
12:46:42,75
12:46:47,74
12:46:52,72
12:47:07,72
12:47:22,72
12:47:37,71
12:47:42,72
12:47:47,72
12:47:52,72
12:48:07,72
12:48:12,70
12:48:22,69
12:48:37,69
12:48:38,69
12:48:53,69
12:49:08,70
12:49:18,67
12:49:23,68
12:49:28,67
12:49:33,67
12:49:43,64
12:49:58,64
12:52:20,67
12:52:25,66
12:52:30,65
12:52:45,65
12:53:00,64
12:53:15,63
12:53:20,64
12:53:30,65
12:53:45,65
12:53:50,62
12:53:55,60
12:54:00,59
12:54:05,61
12:54:15,61
12:54:25,62
12:54:30,64
12:54:40,65
12:54:50,66
12:55:00,67
12:55:15,67
12:55:30,67
12:55:45,67
12:55:55,69
12:56:00,71
12:56:10,67
12:56:18,65
12:56:28,66
12:56:43,68
12:56:58,67
12:57:03,65
12:57:08,64
12:57:23,64
12:57:38,64
12:57:43,64
12:57:58,64
12:58:03,64
12:58:18,64
13:00:50,66
13:00:55,64
13:01:10,64
13:01:25,64
13:01:35,65
13:01:50,65
13:02:05,64
13:02:10,63
13:02:20,64
13:02:30,66
13:02:35,67
13:02:40,66
13:02:45,67
13:02:55,67
13:03:10,67
13:03:15,69
13:03:20,70
13:03:30,71
13:03:40,71
13:03:55,71
13:04:10,71
13:04:20,72
13:04:25,74
13:04:35,72
13:04:40,71
13:04:50,70
13:04:57,68
13:05:07,66
13:05:12,67
13:05:17,65
13:05:32,65
13:05:37,68
13:05:42,66
13:05:57,66
13:06:02,63
13:06:07,64
13:06:12,67
13:06:17,66
13:06:32,66
13:06:47,66
13:07:02,66
13:07:17,66
13:07:22,66
13:07:32,66
13:07:42,65
13:07:52,65
13:07:57,66
13:08:07,66
13:08:22,66
13:08:32,67
13:08:47,67
13:08:49,67
13:08:54,63
13:08:59,65
13:09:09,64
13:09:24,64
13:09:29,65
13:09:34,64
13:09:39,63
13:09:44,61
13:09:49,62
13:09:54,62
13:10:09,62
13:10:19,62
13:10:24,63
13:10:29,61
13:10:34,58
13:10:39,60
13:10:54,60
13:11:09,60
13:11:19,62
13:11:29,62
13:11:39,63
13:11:49,62
13:12:04,62
13:12:09,63
13:12:16,63
13:12:31,64
13:12:36,65
13:12:41,67
13:12:46,68
13:12:51,67
13:13:06,67
13:13:21,67
13:15:13,79
13:15:28,79
13:15:38,77
13:15:43,77
13:15:48,77
13:15:53,78
13:16:08,78
13:16:23,78
13:16:38,77
13:16:53,76
13:17:08,76
13:17:18,77
13:17:33,77
13:17:43,79
13:17:48,80
13:17:58,82
13:18:03,83
13:18:08,84
13:18:13,86
13:18:18,84
13:18:33,84
13:18:38,83
13:18:53,83
13:19:08,83
13:19:15,81
13:19:20,78
13:19:35,78
13:19:50,81
13:20:05,81
13:20:20,81
13:20:35,81
13:20:40,82
13:20:50,83
13:20:55,84
13:21:10,84
13:21:25,84
13:21:30,85
13:21:35,86
13:21:40,86
13:21:45,87
13:21:50,88
13:21:55,89
13:22:05,91
13:22:20,91
13:22:25,93
13:22:30,93
13:22:35,94
13:22:40,97
13:22:50,98
13:22:55,99
13:23:02,99
13:23:07,100
13:23:12,103
13:23:17,104
13:23:32,106
13:23:47,106
13:24:02,106
13:24:07,107
13:24:12,108
13:24:22,110
13:24:27,111
13:24:32,113
13:24:37,114
13:24:42,113
13:24:57,113
13:25:02,114
13:25:17,114
13:25:32,114
13:25:47,115
13:26:02,116
13:26:07,117
13:26:12,118
13:26:22,121
13:26:37,121
13:26:44,122
13:26:59,123
13:27:09,123
13:27:24,123
13:30:56,94
13:31:01,93
13:31:06,91
13:31:11,90
13:31:16,90
13:31:31,90
13:31:46,90
13:34:08,94
13:34:13,95
13:34:18,96
13:34:33,98
13:34:38,99
13:34:43,100
13:34:48,101
13:34:58,102
13:35:13,102
13:35:18,104
13:35:28,105
13:35:43,105
13:35:48,104
13:36:03,104
13:36:18,104
13:36:33,104
13:36:48,104
13:36:55,105
13:37:00,106
13:37:07,106
13:37:14,108
13:37:30,108
13:37:37,108
13:37:52,108
13:37:57,105
13:38:02,100
13:38:07,94
13:38:17,92
13:38:32,92
13:38:37,94
13:39:13,70
13:39:23,73
13:39:33,87
13:39:38,93
13:39:43,78
13:39:58,78
13:40:08,92
13:40:13,100
13:40:28,102
13:40:43,102
13:40:48,109
13:40:53,111
13:41:08,111
13:41:13,116
13:41:18,118
13:41:23,117
13:41:28,114
13:41:38,113
13:41:43,112
13:41:48,111
13:41:53,113
13:41:59,113
13:42:04,113
13:42:09,111
13:42:14,112
13:42:24,113
13:42:29,114
13:42:34,114
13:42:44,115
13:42:54,115
13:43:04,112
13:43:09,112
13:43:14,113
13:43:19,112
13:43:24,113
13:43:39,113
13:43:44,114
13:43:49,115
13:43:54,120
13:43:59,122
13:44:09,119
13:44:19,118
13:44:24,116
13:44:39,116
13:44:49,114
13:44:59,115
13:45:06,113
13:45:21,113
13:45:26,113
13:45:31,114
13:45:46,114
13:46:01,114
13:46:11,113
13:46:16,111
13:46:26,108
13:46:31,109
13:46:36,108
13:46:51,108
13:46:56,108
13:47:11,108
13:47:16,108
13:47:21,107
13:47:31,106
13:47:36,105
13:47:41,106
13:47:56,106
13:48:01,109
13:48:11,108
13:48:21,109
13:48:26,111
13:48:31,113
13:48:38,108
13:48:43,107
13:48:53,104
13:48:58,102
13:49:03,101
13:49:08,99
13:49:18,98
13:49:33,99
13:49:48,100
13:50:03,100
13:50:08,100
13:50:13,102
13:50:18,102
13:50:28,101
13:50:43,101
13:50:48,88
13:50:53,83
13:50:58,82
13:51:03,82
13:51:08,81
13:51:18,80
13:51:33,80
13:51:38,73
13:51:53,73
13:51:55,74
13:52:00,75
13:52:10,74
13:52:15,72
13:52:30,72
13:52:45,73
13:52:50,72
13:53:05,72
13:53:20,72
13:53:35,72
13:53:40,71
13:53:45,74
13:53:50,74
13:54:00,73
13:54:10,74
13:54:25,74
13:54:30,74
13:54:35,74
13:54:40,73
13:54:45,73
13:55:00,73
13:55:10,73
13:55:25,73
13:55:57,71
13:56:12,71
13:56:22,73
13:56:27,74
13:56:42,74
13:56:57,74
13:57:07,74
13:57:17,75
13:57:32,75
13:57:37,74
13:57:52,74
13:58:07,74
13:58:12,70
13:58:17,71
13:58:22,70
13:58:27,71
13:58:32,70
13:58:47,70
13:58:57,72
13:59:02,75
13:59:07,74
13:59:12,75
13:59:17,77
13:59:22,77
13:59:32,76
13:59:42,75
13:59:49,74
13:59:54,74
14:00:09,74
14:00:24,74
