time,sleep
1481647620,1
1481647680,1
1481647740,1
1481647800,1
1481647860,2
1481647920,1
1481647980,1
1481648040,1
1481648100,1
1481648160,1
1481648220,2
1481648280,2
1481648340,2
1481648400,1
1481648460,2
1481648520,1
1481648580,1
1481648640,1
1481648700,1
1481648760,1
1481648820,1
1481648880,1
1481648940,1
1481649000,1
1481649060,1
1481649120,1
1481649180,1
1481649240,1
1481649300,1
1481649360,1
1481649420,1
1481649480,1
1481649540,1
1481649600,1
1481649660,1
1481649720,1
1481649780,1
1481649840,1
1481649900,1
1481649960,1
1481650020,1
1481650080,1
1481650140,1
1481650200,1
1481650260,1
1481650320,1
1481650380,1
1481650440,1
1481650500,1
1481650560,1
1481650620,1
1481650680,1
1481650740,1
1481650800,1
1481650860,1
1481650920,1
1481650980,1
1481651040,1
1481651100,1
1481651160,1
1481651220,1
1481651280,1
1481651340,1
1481651400,1
1481651460,1
1481651520,1
1481651580,1
1481651640,1
1481651700,1
1481651760,1
1481651820,1
1481651880,1
1481651940,1
1481652000,1
1481652060,1
1481652120,1
1481652180,1
1481652240,1
1481652300,1
1481652360,1
1481652420,1
1481652480,1
1481652540,1
1481652600,1
1481652660,1
1481652720,1
1481652780,1
1481652840,1
1481652900,1
1481652960,1
1481653020,1
1481653080,1
1481653140,1
1481653200,1
1481653260,1
1481653320,1
1481653380,1
1481653440,1
1481653500,1
1481653560,1
1481653620,1
1481653680,1
1481653740,1
1481653800,1
1481653860,2
1481653920,1
1481653980,1
1481654040,1
1481654100,1
1481654160,1
1481654220,1
1481654280,1
1481654340,1
1481654400,1
1481654460,1
1481654520,1
1481654580,1
1481654640,1
1481654700,1
1481654760,1
1481654820,1
1481654880,1
1481654940,1
1481655000,2
1481655060,1
1481655120,1
1481655180,1
1481655240,1
1481655300,1
1481655360,1
1481655420,1
1481655480,2
1481655540,1
1481655600,1
1481655660,2
1481655720,2
1481655780,1
1481655840,1
1481655900,1
1481655960,1
1481656020,1
1481656080,1
1481656140,1
1481656200,1
1481656260,1
1481656320,1
1481656380,1
1481656440,1
1481656500,1
1481656560,1
1481656620,1
1481656680,1
1481656740,1
1481656800,1
1481656860,1
1481656920,1
1481656980,1
1481657040,1
1481657100,1
1481657160,1
1481657220,1
1481657280,1
1481657340,1
1481657400,1
1481657460,1
1481657520,1
1481657580,1
1481657640,1
1481657700,1
1481657760,1
1481657820,1
1481657880,1
1481657940,1
1481658000,1
1481658060,1
1481658120,1
1481658180,1
1481658240,1
1481658300,1
1481658360,1
1481658420,1
1481658480,1
1481658540,1
1481658600,1
1481658660,1
1481658720,1
1481658780,1
1481658840,1
1481658900,1
1481658960,1
1481659020,1
1481659080,1
1481659140,1
1481659200,1
1481659260,1
1481659320,1
1481659380,2
1481659440,2
1481659500,2
1481659560,3
1481659620,2
1481659680,3
1481659740,1
1481659800,1
1481659860,1
1481659920,1
1481659980,1
1481660040,1
1481660100,1
1481660160,1
1481660220,1
1481660280,1
1481660340,1
1481660400,1
1481660460,1
1481660520,1
1481660580,1
1481660640,1
1481660700,1
1481660760,1
1481660820,1
1481660880,1
1481660940,1
1481661000,1
1481661060,1
1481661120,1
1481661180,1
1481661240,1
1481661300,1
1481661360,1
1481661420,1
1481661480,1
1481661540,1
1481661600,1
1481661660,1
1481661720,1
1481661780,1
1481661840,1
1481661900,1
1481661960,1
1481662020,1
1481662080,1
1481662140,1
1481662200,1
1481662260,1
1481662320,1
1481662380,1
1481662440,1
1481662500,1
1481662560,1
1481662620,1
1481662680,1
1481662740,1
1481662800,1
1481662860,1
1481662920,2
1481662980,1
1481663040,1
1481663100,1
1481663160,1
1481663220,1
1481663280,1
1481663340,1
1481663400,1
1481663460,1
1481663520,1
1481663580,1
1481663640,1
1481663700,1
1481663760,1
1481663820,1
1481663880,1
1481663940,1
1481664000,1
1481664060,1
1481664120,1
1481664180,1
1481664240,1
1481664300,1
1481664360,1
1481664420,1
1481664480,1
1481664540,1
1481664600,1
1481664660,1
1481664720,2
1481664780,1
1481664840,2
1481664900,1
1481664960,1
1481665020,1
1481665080,1
1481665140,1
1481665200,1
1481665260,1
1481665320,1
1481665380,1
1481665440,1
1481665500,1
1481665560,2
1481665620,1
1481665680,1
1481665740,2
1481665800,1
1481665860,1
1481665920,2
1481665980,1
1481666040,2
1481666100,2
1481666160,1
1481666220,1
1481666280,1
1481666340,1
1481666400,1
1481666460,1
1481666520,1
1481666580,1
1481666640,1
1481666700,1
1481666760,1
1481666820,1
1481666880,1
1481666940,1
1481667000,1
1481667060,1
1481667120,1
1481667180,1
1481667240,1
1481667300,1
1481667360,1
1481667420,1
1481667480,1
1481667540,1
1481667600,1
1481667660,1
1481667720,1
1481667780,1
1481667840,1
1481667900,1
1481667960,1
1481668020,1
1481668080,1
1481668140,1
1481668200,1
1481668260,1
1481668320,1
1481668380,1
1481668440,1
1481668500,1
1481668560,1
1481668620,1
1481668680,1
1481668740,1
1481668800,1
1481668860,1
1481668920,1
1481668980,1
1481669040,1
1481669100,1
1481669160,1
1481669220,1
1481669280,1
1481669340,1
1481669400,1
1481669460,1
1481669520,1
1481669580,1
1481669640,1
1481669700,1
1481669760,1
1481669820,1
1481669880,1
1481669940,1
1481670000,1
1481670060,1
1481670120,1
1481670180,1
1481670240,1
1481670300,1
1481670360,1
1481670420,1
1481670480,1
1481670540,1
1481670600,1
1481670660,1
1481670720,1
1481670780,1
1481670840,1
1481670900,2
1481670960,1
1481671020,1
1481671080,1
1481671140,1
1481671200,1
1481671260,1
1481671320,1
1481671380,1
1481671440,1
1481671500,2
1481671560,1
1481671620,1
1481671680,1
1481671740,1
1481671800,1
1481671860,1
1481671920,2
1481671980,1
1481672040,2
1481672100,1
1481672160,1
1481672220,1
1481672280,1
1481672340,1
1481672400,1
1481672460,1
1481672520,1
1481672580,1
1481672640,1
1481672700,1
1481672760,1
1481672820,1
1481672880,1
1481672940,1
1481673000,1
1481673060,1
1481673120,1
1481673180,1
1481673240,1
1481673300,1
1481673360,1
1481673420,1
1481673480,1
1481673540,1
1481673600,1
1481673660,1
1481673720,1
1481673780,1
1481673840,1
1481673900,1
1481673960,1
1481674020,1
1481674080,1
1481674140,1
1481674200,1
1481674260,1
1481674320,1
1481674380,1
1481674440,2
1481674500,1
1481674560,1
1481674620,1
1481674680,1
1481674740,1
1481674800,2
1481674860,1
1481674920,1
1481674980,2
1481675040,1
1481675100,1
1481675160,1
1481675220,1
1481675280,1
1481675340,2
1481675400,2
1481675460,2
1481675520,2
1481675580,2
1481675640,2
1481675700,2
