,time,heartrate,steps,calorieslevel,caloriesmets,calories
0,00:00:00,,0.0,0.0,11.0,1.2718199491500854
1,00:00:05,,,,,
2,00:00:10,,,,,
3,00:00:15,,,,,
4,00:00:20,68.0,,,,
5,00:00:25,,,,,
6,00:00:30,69.0,,,,
7,00:00:35,,,,,
8,00:00:40,,,,,
9,00:00:45,69.0,,,,
10,00:00:50,69.0,,,,
11,00:00:55,69.0,,,,
12,00:01:00,,0.0,0.0,12.0,1.3874399662017822
13,00:01:05,70.0,,,,
14,00:01:10,,,,,
15,00:01:15,,,,,
16,00:01:20,70.0,,,,
17,00:01:25,,,,,
18,00:01:30,,,,,
19,00:01:35,70.0,,,,
20,00:01:40,,,,,
21,00:01:45,,,,,
22,00:01:50,71.0,,,,
23,00:01:55,,,,,
24,00:02:00,,0.0,0.0,13.0,1.503059983253479
25,00:02:05,71.0,,,,
26,00:02:10,,,,,
27,00:02:15,,,,,
28,00:02:20,71.0,,,,
29,00:02:25,,,,,
30,00:02:30,,,,,
31,00:02:35,71.0,,,,
32,00:02:40,,,,,
33,00:02:45,,,,,
34,00:02:50,71.0,,,,
35,00:02:55,72.0,,,,
36,00:03:00,,0.0,0.0,12.0,1.3874399662017822
37,00:03:05,,,,,
38,00:03:10,72.0,,,,
39,00:03:15,,,,,
40,00:03:20,,,,,
41,00:03:25,72.0,,,,
42,00:03:30,,,,,
43,00:03:35,,,,,
44,00:03:40,72.0,,,,
45,00:03:45,72.0,,,,
46,00:03:50,,,,,
47,00:03:55,,,,,
48,00:04:00,,0.0,0.0,13.0,1.503059983253479
49,00:04:05,,,,,
50,00:04:10,,,,,
51,00:04:15,73.0,,,,
52,00:04:20,,,,,
53,00:04:25,,,,,
54,00:04:30,,,,,
55,00:04:35,70.0,,,,
56,00:04:40,,,,,
57,00:04:45,,,,,
58,00:04:50,69.0,,,,
59,00:04:55,,,,,
60,00:05:00,,0.0,0.0,11.0,1.2718199491500854
61,00:05:05,69.0,,,,
62,00:05:10,,,,,
63,00:05:15,69.0,,,,
64,00:05:20,,,,,
65,00:05:25,68.0,,,,
